Date,Cash On Hand,Receivables,Inventory,Pre-Paid Expenses,Other Current Assets,Total Current Assets,"Property, Plant, And Equipment",Long-Term Investments,Goodwill And Intangible Assets,Other Long-Term Assets,Total Long-Term Assets,Total Assets,Total Current Liabilities,Long Term Debt,Other Non-Current Liabilities,Total Long Term Liabilities,Total Liabilities,Common Stock Net,Retained Earnings (Accumulated Deficit),Comprehensive Income,Other Share Holders Equity,Share Holder Equity,Total Liabilities And Share Holders Equity
2009-09-30,666.1,271.0,664.9,147.2,0.0,2035.8,2536.4,423.5,327.3,253.8,3541.0,5576.8,1581.0,549.3,389.6,938.9,2519.9,0.7,2793.2,65.4,0.0,3056.9,5576.8
2010-09-30,1449.7,302.7,543.3,156.5,0.0,2756.4,2416.5,533.3,333.2,346.5,3629.5,6385.9,1779.1,549.4,375.1,924.5,2703.6,0.7,3471.2,57.2,0.0,3682.3,6385.9
2011-09-30,2050.7,386.5,965.8,161.5,0.0,3794.9,2355.0,479.3,321.6,409.6,3565.5,7360.4,2075.8,549.5,347.8,897.3,2973.1,0.7,4297.4,46.3,0.0,4387.3,7360.4
2012-09-30,2037.0,485.9,1241.5,196.5,0.0,4199.6,2658.9,575.9,542.8,144.7,4019.6,8219.2,2209.8,549.6,345.3,894.9,3104.7,0.7,5046.2,22.7,0.0,5114.5,8219.2
2013-09-30,3233.8,561.4,1111.2,287.7,0.0,5471.4,3200.5,554.8,1137.7,185.3,6045.3,11516.7,5377.3,1299.4,357.7,1657.1,7034.4,0.8,4130.3,67.0,0.0,4482.3,11516.7
2014-09-30,1843.8,631.0,1090.9,285.6,0.0,4168.7,3519.0,833.3,1129.7,198.9,6584.2,10752.9,3038.7,2048.3,392.2,2440.5,5479.2,0.7,5206.6,25.3,0.0,5273.7,10752.9
2015-09-30,1611.4,719.0,1306.4,334.2,0.0,3971.0,4088.3,664.5,2095.8,415.9,8445.3,12416.3,3648.1,2347.5,600.9,2948.4,6596.5,1.5,5974.8,-199.4,0.0,5819.8,12416.3
2016-09-30,2263.2,768.8,1378.5,347.4,0.0,4757.9,4533.8,1496.2,2235.9,403.3,9554.601,14312.5,4546.8,3185.3,689.7,3875.0,8421.8,1.5,5949.8,-108.4,0.0,5890.7,14312.5
2017-09-30,2690.9,870.4,1364.0,358.1,0.0,5283.4,4919.5,1023.9,1980.6,362.8,9082.2,14365.6,4220.7,3932.6,750.9,4687.9,8908.6,1.4,5563.2,-155.6,0.0,5457.0,14365.6
2018-09-30,8937.8,693.1,1400.5,1462.8,0.0,12494.2,5929.1,602.4,4583.8,412.2,11662.2,24156.4,5684.2,9090.2,1430.5,17296.4,22980.6,1.3,1457.4,-330.3,0.0,1175.8,24156.4
2019-09-30,2757.1,879.2,1529.4,488.2,0.0,5653.9,6431.7,616.0,4272.6,479.6,13565.7,19219.6,6168.7,11167.0,1370.5,19281.9,25450.6,1.2,-5771.2,-503.3,0.0,-6231.0,19219.6
2020-09-30,4632.1,883.4,1551.4,739.5,0.0,7806.4,6241.4,684.8,4149.3,568.6,21568.1,29374.5,7346.8,14659.6,907.3,29827.1,37173.9,1.2,-7815.6,-364.6,0.0,-7799.4,29374.5
2021-09-30,6617.9,940.0,1603.9,594.6,0.0,9756.4,6369.5,550.2,4027.2,578.5,21636.2,31392.6,8151.4,13616.9,737.8,28555.7,36707.1,1.2,-6315.7,147.2,0.0,-5314.5,31392.6
