Date,Cash On Hand,Receivables,Inventory,Pre-Paid Expenses,Other Current Assets,Total Current Assets,"Property, Plant, And Equipment",Long-Term Investments,Goodwill And Intangible Assets,Other Long-Term Assets,Total Long-Term Assets,Total Assets,Total Current Liabilities,Long Term Debt,Other Non-Current Liabilities,Total Long Term Liabilities,Total Liabilities,Common Stock Net,Retained Earnings (Accumulated Deficit),Comprehensive Income,Other Share Holders Equity,Share Holder Equity,Total Liabilities And Share Holders Equity
2009-12-31,6366.0,988.0,2171.0,0.0,0.0,9797.0,1290.0,0.0,1234.0,1474.0,4016.0,13813.0,7364.0,0.0,1192.0,1192.0,8556.0,5.0,172.0,-56.0,0.0,5257.0,13813.0
2010-12-31,8762.0,1587.0,3202.0,0.0,0.0,13747.0,2414.0,0.0,1349.0,1265.0,5050.0,18797.0,10372.0,1561.0,0.0,1561.0,11933.0,5.0,1324.0,-190.0,0.0,6864.0,18797.0
2011-12-31,9576.0,2571.0,4992.0,0.0,0.0,17490.0,4417.0,0.0,1955.0,1388.0,7788.0,25278.0,14896.0,255.0,2370.0,2625.0,17521.0,5.0,1955.0,-316.0,0.0,7757.0,25278.0
2012-12-31,11448.0,3817.0,6031.0,0.0,0.0,21296.0,7060.0,0.0,2552.0,1647.0,11259.0,32555.0,19002.0,3084.0,2277.0,5361.0,24363.0,5.0,1916.0,-239.0,0.0,8192.0,32555.0
2013-12-31,12447.0,4767.0,7411.0,0.0,0.0,24625.0,10949.0,0.0,2655.0,1930.0,15534.0,40159.0,22980.0,3191.0,4242.0,7433.0,30413.0,5.0,2190.0,-185.0,0.0,9746.0,40159.0
2014-12-31,17416.0,5612.0,8299.0,0.0,0.0,31327.0,16967.0,0.0,3319.0,2892.0,23178.0,54505.0,28089.0,8265.0,7410.0,15675.0,43764.0,5.0,1949.0,-511.0,0.0,10741.0,54505.0
2015-12-31,19808.0,5654.0,10243.0,0.0,0.0,35705.0,21838.0,0.0,3759.0,3445.0,29042.0,64747.0,33887.0,8227.0,9249.0,17476.0,51363.0,5.0,2545.0,-723.0,0.0,13384.0,64747.0
2016-12-31,25981.0,8339.0,11461.0,0.0,0.0,45781.0,29114.0,0.0,3784.0,4723.0,37621.0,83402.0,43816.0,7694.0,12607.0,20301.0,64117.0,5.0,4916.0,-985.0,0.0,19285.0,83402.0
2017-12-31,30986.0,13164.0,16047.0,0.0,0.0,60197.0,48866.0,0.0,13350.0,8897.0,71113.0,131310.0,57883.0,24743.0,20975.0,45718.0,103601.0,5.0,8636.0,-484.0,0.0,27709.0,131310.0
2018-12-31,41250.0,16677.0,17174.0,0.0,0.0,75101.0,61797.0,0.0,14548.0,11202.0,87547.0,162648.0,68391.0,23495.0,17563.0,50708.0,119099.0,5.0,19625.0,-1035.0,0.0,43549.0,162648.0
2019-12-31,55021.0,20816.0,20497.0,0.0,0.0,96334.0,72705.0,0.0,14754.0,16314.0,128914.0,225248.0,87812.0,23414.0,12171.0,75376.0,163188.0,5.0,31220.0,-986.0,0.0,62060.0,225248.0
2020-12-31,84396.0,24542.0,23795.0,0.0,0.0,132733.0,113114.0,0.0,15017.0,22778.0,188462.0,321195.0,126385.0,31816.0,17017.0,101406.0,227791.0,5.0,52551.0,-180.0,0.0,93404.0,321195.0
2021-12-31,96049.0,32891.0,32640.0,0.0,0.0,161580.0,160281.0,0.0,15371.0,27235.0,258969.0,420549.0,142266.0,48744.0,23643.0,140038.0,282304.0,5.0,85915.0,-1376.0,0.0,138245.0,420549.0
