Date,Cash On Hand,Receivables,Inventory,Pre-Paid Expenses,Other Current Assets,Total Current Assets,"Property, Plant, And Equipment",Long-Term Investments,Goodwill And Intangible Assets,Other Long-Term Assets,Total Long-Term Assets,Total Assets,Total Current Liabilities,Long Term Debt,Other Non-Current Liabilities,Total Long Term Liabilities,Total Liabilities,Common Stock Net,Retained Earnings (Accumulated Deficit),Comprehensive Income,Other Share Holders Equity,Share Holder Equity,Total Liabilities And Share Holders Equity
2009-12-31,69.627,3.488,23.222,4.222,0.0,100.559,23.535,0.0,0.0,6.33,29.865,130.424,57.489,0.8,3.459,326.458,383.947,0.007,-260.654,0.0,0.0,-253.523,130.424
2010-12-31,173.155,6.71,45.182,10.839,0.0,235.886,114.636,0.0,0.0,27.597,150.196,386.082,85.565,72.324,18.362,93.469,179.034,0.095,-414.982,0.0,0.0,207.048,386.082
2011-12-31,303.803,9.539,50.082,9.414,0.0,372.838,298.414,0.0,0.0,30.439,340.61,713.448,191.339,271.165,23.753,298.064,489.403,0.104,-669.392,-0.003,0.0,224.045,713.448
2012-12-31,220.984,26.842,268.504,8.438,0.0,524.768,552.229,0.0,0.0,27.122,589.422,1114.19,539.108,411.46,35.862,450.382,989.49,0.115,-1065.606,0.0,0.0,124.7,1114.19
2013-12-31,848.901,49.109,340.355,27.574,0.0,1265.939,738.494,0.0,0.0,30.072,1150.991,2416.93,675.16,598.974,294.496,1074.65,1749.81,0.123,-1139.62,0.0,0.0,667.12,2416.93
2014-12-31,1923.66,226.604,953.675,76.134,0.0,3180.073,1829.267,0.0,0.0,54.583,2650.594,5830.667,2107.166,1876.981,642.539,2811.791,4918.957,0.126,-1433.66,-0.022,0.0,911.71,5830.667
2015-12-31,1219.536,168.965,1277.838,115.667,0.0,2782.006,3403.334,0.0,12.816,78.38,5285.933,8067.939,2811.035,2068.378,1658.717,4173.2,6984.235,0.131,-2322.323,-3.556,0.0,1083.704,8067.939
2016-12-31,3498.735,499.142,2067.454,194.465,0.0,6259.796,5982.957,0.0,376.145,6404.796,16404.28,22664.08,5827.005,5879.12,4201.036,11298.98,17125.99,0.161,-2997.237,-23.74,0.0,5538.086,22664.08
2017-12-31,3523.237,515.381,2263.537,268.365,0.0,6570.52,10027.52,0.0,421.739,7062.335,22084.85,28655.37,7674.67,9418.39,4752.192,15746.12,23420.78,0.169,-4974.299,33.348,0.0,5234.588,28655.37
2018-12-31,3879.0,949.0,3113.0,366.0,0.0,8307.0,11330.0,0.0,350.0,7241.0,21433.0,29740.0,9993.0,9404.0,3039.0,13990.0,23983.0,0.0,-5318.0,-8.0,0.0,5757.0,29740.0
2019-12-31,6268.0,1324.0,3552.0,959.0,0.0,12103.0,10396.0,0.0,537.0,7608.0,22206.0,34309.0,10667.0,11634.0,2691.0,16175.0,26842.0,1.0,-6083.0,-36.0,0.0,7467.0,34309.0
2020-12-31,19384.0,1886.0,4101.0,1346.0,0.0,26717.0,12747.0,0.0,520.0,7515.0,25431.0,52148.0,14248.0,9607.0,3330.0,14825.0,29073.0,1.0,-5399.0,363.0,0.0,23075.0,52148.0
2021-12-31,17707.0,1913.0,5757.0,1723.0,0.0,27100.0,18884.0,0.0,457.0,9163.0,35031.0,62131.0,19705.0,5245.0,3546.0,11411.0,31116.0,1.0,331.0,54.0,0.0,31015.0,62131.0
