Date,Cash On Hand,Receivables,Inventory,Pre-Paid Expenses,Other Current Assets,Total Current Assets,"Property, Plant, And Equipment",Long-Term Investments,Goodwill And Intangible Assets,Other Long-Term Assets,Total Long-Term Assets,Total Assets,Total Current Liabilities,Long Term Debt,Other Non-Current Liabilities,Total Long Term Liabilities,Total Liabilities,Common Stock Net,Retained Earnings (Accumulated Deficit),Comprehensive Income,Other Share Holders Equity,Share Holder Equity,Total Liabilities And Share Holders Equity
2009-09-30,3417.0,4854.0,1271.0,0.0,576.0,11889.0,15080.0,2554.0,23930.0,2022.0,51228.0,63117.0,8934.0,11495.0,5444.0,18758.0,27692.0,27038.0,31033.0,-1644.0,0.0,35425.0,63117.0
2010-09-30,2722.0,5784.0,1442.0,0.0,581.0,12225.0,14502.0,2513.0,29181.0,2708.0,56981.0,69206.0,11000.0,10130.0,6104.0,18864.0,29864.0,28736.0,34327.0,-1881.0,0.0,39342.0,69206.0
2011-09-30,3185.0,6182.0,1595.0,0.0,634.0,13757.0,15943.0,2435.0,29266.0,2614.0,58367.0,72124.0,12088.0,10922.0,6795.0,20583.0,32671.0,30296.0,38375.0,-2630.0,0.0,39453.0,72124.0
2012-09-30,3387.0,6540.0,1537.0,0.0,804.0,13709.0,17895.0,2723.0,30125.0,2288.0,61189.0,74898.0,12813.0,10697.0,7179.0,20127.0,32940.0,31731.0,42965.0,-3266.0,0.0,41958.0,74898.0
2013-09-30,3931.0,6967.0,1487.0,0.0,605.0,14109.0,18733.0,2849.0,34694.0,2426.0,67132.0,81241.0,11704.0,12776.0,4561.0,21387.0,33091.0,33440.0,47758.0,-1187.0,0.0,48150.0,81241.0
2014-09-30,3421.0,7822.0,1574.0,0.0,794.0,15169.0,18541.0,2696.0,35315.0,2304.0,68972.0,84141.0,13292.0,12631.0,5942.0,22671.0,35963.0,34301.0,53734.0,-1968.0,0.0,48178.0,84141.0
2015-09-30,4269.0,8019.0,1571.0,0.0,962.0,16758.0,17901.0,2643.0,34998.0,2421.0,71424.0,88182.0,16334.0,12773.0,6369.0,23193.0,39527.0,35122.0,59028.0,-2421.0,0.0,48655.0,88182.0
2016-09-30,4610.0,9065.0,1390.0,0.0,693.0,16966.0,23421.0,4280.0,34759.0,2340.0,75067.0,92033.0,16842.0,16483.0,7706.0,27868.0,44710.0,35859.0,66088.0,-3979.0,0.0,47323.0,92033.0
2017-09-30,4017.0,8633.0,1373.0,0.0,588.0,15889.0,25006.0,3202.0,38421.0,2390.0,79900.0,95789.0,19595.0,19119.0,6443.0,31190.0,50785.0,36248.0,72606.0,-3528.0,0.0,45004.0,95789.0
2018-09-30,4150.0,9334.0,1392.0,0.0,635.0,16825.0,24474.0,2899.0,38081.0,3365.0,81773.0,98598.0,17860.0,17084.0,6590.0,27906.0,45766.0,36779.0,82679.0,-3097.0,0.0,52832.0,98598.0
2019-09-30,5418.0,15481.0,1649.0,0.0,979.0,28124.0,26174.0,3224.0,103508.0,4715.0,165860.0,193984.0,31341.0,38129.0,13760.0,68754.0,100095.0,53907.0,42494.0,-6617.0,0.0,93889.0,193984.0
2020-09-30,17914.0,12708.0,1583.0,0.0,3046.0,35251.0,26594.0,3903.0,96862.0,33455.0,166298.0,201549.0,26628.0,52917.0,17204.0,86658.0,113286.0,54497.0,38315.0,-8322.0,0.0,88263.0,201549.0
2021-09-30,15959.0,13367.0,1331.0,0.0,3000.0,33657.0,26972.0,3935.0,95186.0,38207.0,169952.0,203609.0,31077.0,48540.0,14522.0,79521.0,110598.0,55471.0,40429.0,-6440.0,0.0,93011.0,203609.0
