Date,Cash On Hand,Receivables,Inventory,Pre-Paid Expenses,Other Current Assets,Total Current Assets,"Property, Plant, And Equipment",Long-Term Investments,Goodwill And Intangible Assets,Other Long-Term Assets,Total Long-Term Assets,Total Assets,Total Current Liabilities,Long Term Debt,Other Non-Current Liabilities,Total Long Term Liabilities,Total Liabilities,Common Stock Net,Retained Earnings (Accumulated Deficit),Comprehensive Income,Other Share Holders Equity,Share Holder Equity,Total Liabilities And Share Holders Equity
2009-06-30,31447.0,11192.0,717.0,0.0,3711.0,49280.0,7535.0,4933.0,14262.0,1599.0,28608.0,77888.0,27034.0,3746.0,6269.0,11296.0,38330.0,62382.0,-22824.0,0.0,0.0,39558.0,77888.0
2010-06-30,36788.0,13014.0,740.0,0.0,2950.0,55676.0,7630.0,7754.0,13552.0,1501.0,30437.0,86113.0,26147.0,4939.0,7445.0,13791.0,39938.0,62856.0,-16681.0,0.0,0.0,46175.0,86113.0
2011-06-30,52772.0,14987.0,1372.0,0.0,3320.0,74918.0,8162.0,10865.0,13325.0,1434.0,33786.0,108704.0,28774.0,11921.0,8072.0,22847.0,51621.0,63415.0,-6332.0,0.0,0.0,57083.0,108704.0
2012-06-30,63040.0,15780.0,1137.0,0.0,3092.0,85084.0,8269.0,9776.0,16622.0,1520.0,36187.0,121271.0,32688.0,10713.0,8208.0,22220.0,54908.0,65797.0,-856.0,1422.0,0.0,66363.0,121271.0
2013-06-30,77022.0,17486.0,1938.0,0.0,3388.0,101466.0,9991.0,10844.0,17738.0,2392.0,40965.0,142431.0,37417.0,12601.0,10000.0,26070.0,63487.0,67306.0,9895.0,1743.0,0.0,78944.0,142431.0
2014-06-30,85709.0,19544.0,2660.0,0.0,4392.0,114246.0,13011.0,14597.0,27108.0,3422.0,58138.0,172384.0,45625.0,20645.0,11594.0,36975.0,82600.0,68366.0,17710.0,3708.0,0.0,89784.0,172384.0
2015-06-30,96526.0,17908.0,2902.0,0.0,5461.0,122797.0,14731.0,12053.0,21774.0,3117.0,51675.0,174472.0,49647.0,27808.0,13544.0,44742.0,94389.0,68465.0,9096.0,2522.0,0.0,80083.0,174472.0
2016-06-30,113240.0,18277.0,2251.0,0.0,5892.0,139660.0,18356.0,10431.0,21605.0,3416.0,53808.0,193468.0,59357.0,40557.0,13640.0,62114.0,121471.0,68178.0,2282.0,1537.0,0.0,71997.0,193468.0
2017-06-30,132981.0,22431.0,2181.0,0.0,5103.0,162696.0,23734.0,6023.0,45228.0,6076.0,87616.0,250312.0,55745.0,76073.0,17034.0,106856.0,162601.0,69315.0,17769.0,627.0,0.0,87711.0,250312.0
2018-06-30,133768.0,26481.0,2662.0,0.0,6751.0,169662.0,29460.0,1862.0,43736.0,7442.0,89186.0,258848.0,58488.0,72242.0,35476.0,117642.0,176130.0,71223.0,13682.0,-2187.0,0.0,82718.0,258848.0
2019-06-30,133819.0,29524.0,2063.0,0.0,10146.0,175552.0,36477.0,2649.0,49776.0,14723.0,111004.0,286556.0,69420.0,66662.0,37193.0,114806.0,184226.0,78520.0,24150.0,-340.0,0.0,102330.0,286556.0
2020-06-30,136527.0,32011.0,1895.0,0.0,11482.0,181915.0,44151.0,2965.0,50389.0,13138.0,119396.0,301311.0,72310.0,59578.0,40064.0,110697.0,183007.0,80552.0,34566.0,3186.0,0.0,118304.0,301311.0
2021-06-30,130334.0,38043.0,2636.0,0.0,13393.0,184406.0,59715.0,5984.0,57511.0,15075.0,149373.0,333779.0,88657.0,50074.0,40617.0,103134.0,191791.0,83111.0,57055.0,1822.0,0.0,141988.0,333779.0
